N_docs,ExecutionTimeInsertionMean,ExecutionTimeInsertionTotal,ExecutionTimeSearchMean,ExecutionTimeSearchMax,NumComparisonsInsertionMean,NumComparisonsInsertionTotal,NumComparisonsSearchMean,NumComparisonsSearchMax,TreeHeight,MaxBranch,MinBranch,NumNodes,TreeSizeBytes
2710,0.00149682,3808.49,0.00156039,0.015481,13,35043645,16,21,20,20,12,125129,27314132
2720,0.00149522,3819.25,0.00158317,0.025392,13,35183933,16,21,20,20,12,125270,27367410
2730,0.00149821,3838.15,0.00155701,0.018542,13,35289507,16,21,20,20,12,125396,27410665
2740,0.00149582,3844.43,0.00157318,0.016835,13,35405897,16,21,20,20,12,125527,27470274
2750,0.00148967,3837.45,0.00155085,0.018381,13,35488000,16,21,20,20,12,125601,27525511
2760,0.00149833,3870.17,0.00157018,0.021433,13,35584713,16,21,20,20,12,125670,27573106
2770,0.00149292,3868.72,0.00159287,0.017559,13,35702337,16,21,20,20,12,125824,27636995
2780,0.00149515,3884.7,0.00158574,0.017046,13,35797085,16,21,20,20,12,125922,27709805
2790,0.00149608,3900.41,0.00157243,0.021954,13,35920177,16,21,20,20,12,126065,27774433
2800,0.00149189,3903.67,0.00155752,0.009602,13,36054197,16,21,20,20,12,126254,27844068
2810,0.00148557,3901.72,0.0015551,0.015583,13,36192525,16,21,20,20,12,126445,27920813
